epoch,accuracy,loss,val_accuracy,val_loss
0,0.2834468483924866,3.418008804321289,0.6758432388305664,1.7405389547348022
1,0.6340306401252747,1.5976781845092773,0.763144850730896,0.9925491809844971
2,0.6862685680389404,1.1878178119659424,0.7827380895614624,0.8108526468276978
3,0.7085258960723877,1.0454391241073608,0.793154776096344,0.742899477481842
4,0.7264047861099243,0.9712589979171753,0.7966269850730896,0.7105133533477783
5,0.7345536351203918,0.9230180978775024,0.796875,0.6851747632026672
6,0.7403916120529175,0.8947939872741699,0.8003472089767456,0.6764051914215088
7,0.7464728951454163,0.87352454662323,0.8033233880996704,0.6628732085227966
8,0.7496351003646851,0.8439499735832214,0.8058035969734192,0.6590705513954163
9,0.748844563961029,0.8397120833396912,0.8067956566810608,0.6518746614456177
10,0.7556555867195129,0.8103863596916199,0.8070436716079712,0.6519517302513123
11,0.7616151571273804,0.7979293465614319,0.8107638955116272,0.6472114324569702
12,0.7611286640167236,0.7927324175834656,0.8070436716079712,0.6434470415115356
13,0.768122136592865,0.7653472423553467,0.8058035969734192,0.644181489944458
14,0.7684261798858643,0.7638915181159973,0.8080357313156128,0.6420872807502747
15,0.7739601135253906,0.7440813779830933,0.811259925365448,0.6427915096282959
16,0.7756020426750183,0.7431167364120483,0.8085317611694336,0.6389583349227905
17,0.7770007252693176,0.7374758124351501,0.8115079402923584,0.6393768191337585
18,0.781744122505188,0.7299209237098694,0.8122519850730896,0.6391416192054749
19,0.7802237868309021,0.7129542827606201,0.8090277910232544,0.6427292227745056
